 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,684,000,144",11/01/2021,6,530,1.62,0.0025,0.02,0.017,B2B
"100,120,684,000,145",11/01/2021,6,1000,4.98,0.0025,0.02,0.017,B2B
"100,120,684,000,146",11/01/2021,6,850,0.33,0.0025,0.02,0.017,B2B
"100,120,684,000,147",11/01/2021,6,530,1.62,0.0025,0.02,0.017,B2B
"100,120,684,000,148",11/01/2021,6,2000,-0.68,0.0025,0.02,0.017,B2B
"100,120,684,000,149",06/01/2021,6,1800,2.49,0.0025,0.02,0.017,B2B
"100,120,684,000,150",06/01/2021,6,1000,5.4,0.0025,0.02,0.017,B2B
"100,120,684,000,151",06/01/2021,6,1600,2.65,0.0025,0.02,0.017,B2B
"100,120,684,000,152",18/01/2021,6,250,1.69,0.0025,0.02,0.017,B2B
"100,120,684,000,153",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,154",18/01/2021,6,150,5.82,0.0025,0.02,0.017,B2B
"100,120,684,000,155",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,156",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,157",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,158",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,159",18/01/2021,6,600,5.26,0.0025,0.02,0.017,B2B
"100,120,684,000,160",18/01/2021,6,200,3.77,0.0025,0.02,0.017,B2B
"100,120,684,000,161",18/01/2021,6,160,0.59,0.0025,0.02,0.017,B2B
"100,120,684,000,162",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,163",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,164",18/01/2021,6,1200,4.48,0.0025,0.02,0.017,B2B
"100,120,684,000,165",18/01/2021,6,150,5.82,0.0025,0.02,0.017,B2B
"100,120,684,000,166",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,167",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,168",18/01/2021,6,1500,2.73,0.0025,0.02,0.017,B2B
"100,120,684,000,169",18/01/2021,6,400,1.49,0.0025,0.02,0.017,B2B
"100,120,684,000,170",18/01/2021,6,600,5.26,0.0025,0.02,0.017,B2B
"100,120,684,000,171",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,172",18/01/2021,6,250,1.69,0.0025,0.02,0.017,B2B
"100,120,684,000,173",18/01/2021,6,150,5.82,0.0025,0.02,0.017,B2B
"100,120,684,000,174",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,175",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,176",18/01/2021,5,250,119.75,0.0025,0.02,0.017,B2B
"100,120,684,000,177",18/01/2021,5,150,4.25,0.0025,0.02,0.017,B2B
"100,120,684,000,178",18/01/2021,6,800,2.98,0.0025,0.02,0.017,B2B
"100,120,684,000,179",18/01/2021,6,1000,0.75,0.0025,0.02,0.017,B2B
"100,120,684,000,180",18/01/2021,6,300,5.61,0.0025,0.02,0.017,B2B
"100,120,684,000,181",18/01/2021,6,1000,0.75,0.0025,0.02,0.017,B2B
"100,120,684,000,182",18/01/2021,6,1500,0,0.0025,0.02,0.017,B2B
"100,120,684,000,183",18/01/2021,6,500,3.37,0.0025,0.02,0.017,B2B
"100,120,684,000,184",08/02/2021,6,500,4.37,0.0025,0.02,0.017,B2B
